IHR,date,equip,cat1,cat2,hazard,location,risk,event,desc,invest
2518,14-05-13 16:00,DHC-8,Maintenance Procedure,,Occurrence,Technical Records QA,High Risk,When AD CF 2011-29R1-Part 3 was carried out [Ref TC 142873-10] it was discovered that the initial compliance of AD 2011-29R1-Part 1 was not correctly complied with due to incorrectly recorded Part Numbers and Serial Numbers [Ref TC 111870-52].\r\nThe non-compliant Part was replaced with a compliant Part on TC 142873-10 and the electronic records have been updated accordingly.,Incorrectly recorded Part Number and Serial Number.\r\nPart and Serial Numbers were very faint on non-compliant part.,"Andrew Matson - SMS - May 13, 2014  2130L\r\nPhoto of non-compliant part attached at originator's request.  Person starting investigation changed from Richard Draho to Tyler Kindermann.  \r\n\r\nMay 14 2014-8-18 am L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nWhen it was discovered that there was an AWD due on the accumulator it was replaced.\r\nAssigned to manager\r\nHandling risk high due AWD due on an in service part.\r\nHandling risk High 4-4\r\n\r\nJames Wakulchyk QA Flt Ops May 14 2014 16:00 handling risk high per QA maint.  Assigned to manager.\r\n\r\nTyler Kindermann - 11-June-2014\r\nIn August of 2011, and experienced AME endorsed on type inspected the part for compliance with the AD.  Due to the condition of the dataplate, he did not correctly identify the part confusing the PN, SN, and WO numbers.\r\n\r\nAccording to the information he recorded the part was not listed in the AD as a part requiring immediate replacement.\r\n\r\nThe part has now been replaced.\r\n\r\nA review of all the other aircraft showed the expected pattern for PN and SN.  No other compliance issues were found.\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\nAndrew Matson - SMS - July 15, 2014  1445L\r\nOn behalf of QA Maintenance:\r\nSame as above.\r\n\r\n\r\nVeronique van den Broek - SMS - 06/08/2014 1355L\r\nReport has been approved for closure by the SMS Committee. The category has been changed from Maintenance Procedure to Maintenance General at the request of the SMS Committee. Root Cause analysis - Action Error - Slip has been noted.\r\n\r\n"
2519,14-05-14 5:00,BE 200,Check-In Procedures,System or Process Failure,Occurrence,CYYC,Medium Risk,Passengers checked in with 5 cans of bear spray in the checked bags. They were told that this was acceptable by sales as long as it was in their checked bags and they went in the pod. The only reason that we found out is because the passengers informed us as we were walking to the aircraft.,Sales staff not knowing the dangerous goods rules and checking in staff not informing the pilots of such items due to shift change,"Andrew Matson - SMS - May 14, 2014. 2000L\r\nNo regulatory violation as the items were removed from baggage before departure. Medium risk for handling. Assigned to DG Coordinator for investigation.\r\n\r\nMay 15 2014-0755L CYXJ\r\nNo maintenance action required\r\nHandling risk MED 3-3\r\n\r\nJames Wakulchyk QA Flt Ops May 6 2014 15:10 handling risk med process failure for check in staff not recognizing DG; assigned to manager.\r\n\r\nAndrew Matson - SMS - May 17, 2014  2230L\r\nMemo DG14-03 (attached) issued to all Sales, Customer Service, Passenger Screening, Pilots and Flight Attendants regarding carriage of bear spray and bear bangers on board NCA aircraft.  Dangerous Goods Alert signage posted at YYC and sent to YEG, YXJ and YMM to be posted at check-in and passenger screening areas.  \r\n\r\nAndrew Matson - SMS - June 16, 2014  1445L\r\nAs per email from Director, SMS on June 13, 2014, first extension granted for 30 days.  Followup date changed to July 13, 2014.\r\n\r\nAndrew Matson - SMS - July 14, 2014  1045L\r\nInvestigation completed.  The client had been instructed by Sales personnel that bear spray could be carried in their baggage without consultation with the DG Coordinator.  The pilot's became aware of the bear spray  and ensured all DG were removed prior to departure.  Pilot's actions were in accordance with all SOPs and guidance, and prevented a regulatory infraction from occurring.  RCA and corrective action plan attached to file.  RFC\r\n\r\nVeronique van den Broek - SMS - 03/09/2014 1424L\r\nSMS Committee has reviewed this report and has approved it for closure on August 28, 2014. Primary category changed from Dangerous Goods undeclared/misdeclared to Check-In Procedures and secondary added as System or Process Failure as requested by the SMS Committee. Report closed. "
2520,14-05-14 17:00,BE 200,Wildlife Conflict,,Occurrence,CYEG,Low Risk,Close encounter with a hawk on final for Runway 20 in CYEG. Bird near miss report filed online file number is 62708,Hawk,"May 15 2014-0750 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk low\r\n\r\nJames Wakulchyk QA Flt Ops May 16 2014 handling risk low assigned to manager may be AC'd.\r\n\r\nMay 21 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nReport reviewed. Crew acted in accordance with all applicable guidance (QRH, AFM, SOP). RFC. May be AC'd. \r\n\r\nJames Wakulchyk Q/A Manager Flt ops May 21 2014;  I have reviewed this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nAndrew Matson - SMS - July 2, 2014  1600L\r\nReport recommended for Administrative Closure.  Sent to Accountable Executive for review and closure.\r\nOn behalf of QA Maintenance:\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety\r\nMay be AC'd.\r\n\r\nDan Wuthrich AE, July 24/2014\r\nReviewed and closed"
2521,14-05-15 11:00,None,Maintenance Procedure,,Occurrence,CYXJ,Low Risk,Internal maintenance Audit # 13 was completed with findings.\r\nThis internal maintenance audit is being reported to SMS for tracking and any resulting corrective actions required to maintain compliance in the future.\r\nSee attached;,,"May 15 2014-1342L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nEntered for tracking Internal Maintenance audits with findings.\r\n\r\nJames Wakulchyk QA Flt Ops May 16 2014 15:05 handling risk low per audit rating; assigned to manager.\r\n\r\nDavid Heiduk - SMS - 1610(L)\r\nFollow up date adjusted to reflect first investigation extension as a 30 day extension.\r\n\r\nAndrew Matson - SMS - July 21, 2014  1400L\r\nOn behalf of Director, SMS.  As per QA Audit documentation, followup for this finding is not due until September 1, 2014.  Followup date of SMS report changed to coincide with audit due date.\r\n\r\nShawn Tuff Aug 7 2014- All audit findings followed up by base applicability and actions found acceptable. Ref attached emails \r\nYXJ tool gauge sent for recal and re installed. Waiting email Nat dirks YXJ.\r\n\r\nDave Williamson Aug 7, 2014. 16:00 L.\r\nAll audit findings rectified. \r\n\r\nSept 12 2014 James Wakulchyk Q/A Manager Flt ops\r\nI have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nVern Lace- November 18 2014 2014-Q/A Manager Maintenance\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any new opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit\r\nc.  This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nAndrew Matson - SMS - Dec 14, 2014 \r\nAudit findings rectified.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - Ae - dec 17, 2014\r\nReport reviewed and closed"
2522,14-05-15 21:35,DHC-8,Overshoot (go-around),,Occurrence,missed approach due to weather ceiling at 200 feet,Low Risk,Missed approach due to bad weather in Kerby Lake CRL4 conducted missed and diverted to Conklin as per company instructions no afm limitations exceed.,Bad and rapidly deteriorating weather at destonation,"May 16 2014-0833 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk LOW 1-3\r\n\r\nJames Wakulchyk QA Flt Ops May 16 2014 handling risk low assigned to manager may be AC'd.\r\n\r\nDanny Shorten Assistant Chief Pilot 705 June 9, 2014\r\nSpoke with the Captain. Crew acted in accordance with all applicable guidance; CAR's and SOP's. No further action required. Recommended for closure.\r\n\r\nAndrew Matson - SMS - July 2, 2014  1600L\r\nReport under consideration for Administrative Closure.  Administrative Close substatus added.  \r\nOn behalf of QA Maintenance:\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety\r\nMay be AC'd.\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\n\r\nAndrew Matson - SMS - Aug 18, 2014  2110L\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich- AE - Sept 7, 2014\r\nReport reviewed and closed"
2523,14-05-14 6:00,B 1900D,Avionics,Operations procedures,Occurrence,Edmonton,Medium Risk,"Recurring magnetic compass exceeding checks during flight and causing DMI's to be applied to the aircraft.  Flight crews in flight say to compass is beyond limits, maintenance ground checks it within limits.  It was pointed out by Brad MacDonald that the Ipads that the flight crews use could be causing interference with the mag compass.  Flight crew agreed to remove the ipad from the vicinity of the mag compass during the compass performance check and found the compass within limits.  DMI removed.   Ref T/C 142677-121",with the introduction of high tech electronics into the cockpit there is an oversight as to how they will effect other aircraft systems,"May 16 2014-0828L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nHandling risk HIGH 4-4 Due interference with navigation instrument (compass )\r\nAssigned to manager\r\n\r\nJames Wakulchyk QA Flt Ops May 16 2014 handling risk med 3-2 due process failure (flight crews not putting ipads into side holders; similar to not putting headsets on dash while performing compass checks). Operations procedure added to secondary category.  assigned to manager\r\n\r\nLanny Benoit DFO May 20, 2014\r\nCause determined to be placing Ipad on the Dash. Memo created and distributed to all NCA pilots. RFC\r\n\r\nMay 20 2014 James Wakulchyk Q/A Manager flt Ops\r\nI have reviewed and determined that this investigation and supporting documentation and found; a. This report does not generate any new opportunities to create a new audit; b. This report does not generate any new opportunity to enhance and existing audit; c. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nVern Lace- May 22 2014-Q/A Manager Maintenance\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any new opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit\r\nc.  This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\n\r\nDavid Heiduk - SMS - 27 Aug 2014 1420(L)\r\nAs a result of the apparent cause determination to be the indiscriminate practice of placing the IPADs on the glare shield the formal requirement for RCA is removed.  A probable causation statement will be acceptable.  The first memo was to address the immediate concerns related to this practice.  On behalf of acting DFO (Danny Shorten) latest memo dated 16 June 2014 to flight crews which expands guidance related to this issue is now attached to this investigation.  Note-a aircraft specific memo was issued for each aircrarft type (memo attached is for DHC8).\r\n\r\nVeronique van den Broek - SMS - 03/09/2014 1427L\r\nSMS Committee has reviewed this report and has approved it for closure on August 28, 2014. Report closed. \r\n"
2524,14-05-16 16:00,B 1900D,Training,System or Process Failure,Occurrence,CYYC,High Risk,"John Braun was dispatched and operated 3 revenue flights without having first completed regaining qualifications training.  John was away from flying for a period exceeding 90 days but less than 12 months.  As per CASS 724.115 (13) and NCA's 703/4 Training Manual, John was to have completed 3 take-off's and landings to regain qualifications before operating revenue and carrying passengers.","Email was sent by flight ops admin to crew sched advising John required a 3 sector line indoc and a line check to regain qualifications.  This was followed directly by an email from myself clarifying that John required 3 take-off's and landings (CARs) and a line check (client requirements).  Having received both emails simultaneously, crew sched misinterpreted the above to mean John required a flight day of at least 3 sectors, to accomplish 3 take-off's and landings. Miscommunication leading to CARs violation.  John was not marked off in the crew sched as DND until training was complete, as this was removed by flight ops admin immediately upon receipt of his licensing documentation.","May 20 2014-0814L CYXJ\r\nVern Lace Q//A Manager maintenance\r\nNo maintenance action required\r\nAppears to be a  CASS 724.115 (13) infraction to be confirmed by flight ops Q/A\r\n\r\nJames Wakulchyk QA Flt Ops May 202 2014 11:45 handling risk high 4-4 assigned to manager.  CARS infraction of 704.108(1) Subject to subsection (6), no air operator shall permit a person to act and no person shall act as a flight crew member in an aircraft unless the person... (b) within the previous 90 days, has completed at least three take-offs and three landings\r\nDiscussed with manager, advised VP Operations and DFO.\r\n\r\nLanny Benoit DFO May 20,2014\r\nUnder review, monitoring for further occourances.\r\n\r\nLanny Benoit DFO May 22, 2014\r\nMet with training cordinator to review the event and was determined to be a single point failure. Training manager and DFO reviewed email traffic and crew scedule to reference against the COM, 703/704, 705 TPM. Trtaining cordinator was counselled and Root cause analysis will be completed.\r\n\r\nTrevor Dallman - Manager, Training & Standards - June 12, 2014 @ 14:42 MDT:  See attached 0028 form & email history.\r\n\r\nJames Wakulchyk QA June 12 - on behalf ot investigator per email June 12, report set into RFC\r\n\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\nAndrew Matson - SMS - July 15, 2014  1450L\r\nOn behalf of QA Maintenance, same as above.\r\n\r\nVeronique van den Broek - SMS - 06/08/2014 1400L\r\nReport has been approved for closure by the SMS Committee pending the completion of the Corrective Action Plan and Monitor for Effectiveness. Review date has been changed to October 2, 2014. \r\n\r\nVern Lace Sept. 15 2014 2014-Q/A Manager Maintenance\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nRichelle Singer-SMS Program Analyst-February 26, 2015-1400\r\nFollowup Task not created for MFE. Task created and Follow-up date changed to March 17, 2015.\r\n\r\nRichelle Singer-SMS Program Analyst-March 04, 2015-0900\r\nPer Manager, Training and Standards, Follow-up date changed from March 17, 2015 to May 05, 2015. Tool has not been implemented by AvroStrategies, requests on-going as per weekly flight operations meetings and email.\r\n\r\n"
2525,14-05-20 10:00,Ground Support Equipment,Ground Servicing,,Occurrence,YYC Ramp,Low Risk,"This report was received from Executive Flight Centre May 20, 2014:\r\n\r\nFueling vehicles manouver too close to AC and between Hanger and AC with no egress.  See photos attached.",Incorrect placement of aircraft for fueling operations.,"Andrew Matson - SMS - May 20, 2014  1030L\r\nAttachments added as provided from EFC.  Primary investigator changed from Director, SMS to Senior Supervisor, Airports\r\n\r\nJames Wakulchyk QA Flt Ops May 20 2014 12:20 handing risk low 3-2 assigned to manager\r\n\r\nTrevor Smith Senior Supervisor of Airports, May 22, 2014 15:30L\r\nI have been in contact with Nigel Wood with Executive Flight Centre, we are attempting to schedule a meeting with James Nigel and myself to discuss the placement of aircraft and fuel truck in the YYC ramp.\r\n\r\nTrevor Smith Senior Supervisor of Airports, June 2, 2014\r\nMet with James Martens of EFC, May 30, 2014 to discuss aircraft parking and fuel truck parking issues. We discussed different ideas on parking and fuel truck parking, but it was explained to him that parking all aircraft facing to the west was not a viable option. The NCA ramp is a busy ramp that is dynamic and always changing, and to try to set hard fast rules on how to park and fuel is not possible. We did discuss some different ways of parking that may lesson the chances of egress routes being blocked as well as trying to enforce better communication between fuelers and ramp attendants. \r\n\r\n\r\nRFC\r\n\r\nJune 2 2014-1652L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk low2-2\r\n\r\nAndrew Matson - SMS - July 2, 2014  1600L\r\nReport under consideration for Administrative Closure.  Administrative Close substatus added.  \r\nOn behalf of QA Maintenance:\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety\r\nMay be AC'd.\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\n\r\nAndrew Matson - SMS - Aug 18, 2014  2110L\r\nOn behalf of QA Flight Ops, may be AC'd.  Report recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Sept 7, 2014\r\nReport reviewed and closed\r\n\r\n"
2526,14-04-12 10:00,B 1900D,Maintenance Procedure,,Occurrence,CYEG,Medium Risk,During a monitor for effectiveness of SMS 2094-see attached report indicating failure of someone to sign flight ops portion of MEL extension.,,"May 20 2014-1038 L CYXJ\r\nAssigned to L.Benoit at the request of D. Williamson\r\nHandling risk high due apparent CAR infraction-MEL form not signed by flight ops.\r\nThis closes SMS report 2094 and opens this report (2526) as a failure of effectiveness.\r\nThe CAR for the original report was 573.10 2\r\n\r\nBill Stupak, May 21, 2014.  MOC/Maintenace planning.\r\nAfter a review on MOC incoming email traffic we received a request for MEL extensions from YEG base on April 4th, 2014 @ 12:15 PM.  I printed the attachments, had them signed by operations and then myself and returned them to the YEG email @ 12:23 PM.  please see attached scans.  The MEL extension that is attached to this report is different than the one that I signed and returned to YEG. Reassigned to YEG base engineer for further investigation.\r\n\r\nMay 20 2014-1421L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nAs per the statement above the MEL form was signed by flight ops\r\nTherefore there was no CAR infraction I am lowering the risk to MED 2-3-process failure.\r\nIt appears the MEL not signed by flight ops ended up being E-Mailed by the AME in YEG.\r\nAlso changed back to Maintenance procedure.\r\nThe monitor for effectiveness of 2094 can be considered effective and closed .\r\n\r\nKen Pratt June 6/14- During the investigation it was determined that the procedures were all followed up to the engineer sending the form to the DOM and TC. The signed copy went in the log book (see attached) but the engineer had a action error slip (determination of cause) and sent the incomplete form to the DOM and TC. Completed form has been resent and I'm recommeding this for closure once the HF boxes are complete.\r\n\r\nJames Wakulchyk QA Flt Ops June 12 2014 10:35 - initial notes were not saved on May 20; was reviewed and handling per QA maint.  No current flight ops input required.\r\n\r\nJune 18 2014 James Wakulchyk Q/A Manager Flt ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\n\r\nKatrin Itten SMS Technical Analyst Sept 11, 2014\r\nChanged Yes to No for Was this a Regulatory Infraction? in response to the note entered by V. Lace on May 20th.\r\n\r\n Vern Lace- November 17 2014 2014-Q/A Manager Maintenance\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na.  This report  does not generate any new opportunities to create a new audit\r\nb.  This report  does not generate any new opportunity to enhance an existing audit\r\nc.  This report does not generate opportunity for an addition to the NCFS Proactive Safety \r\n\r\nVeronique van den Broek - SMS - 07/01/2015 1436L\r\nThe SMS Committee has reviewed and accepted this report for closure on December 12, 2014. Report closed.\r\n\r\n"
2527,14-05-16 13:00,Ground Services,Third Party Actions ,Fuel Contamination,Occurrence,Lloydminster Airport,Medium Risk,"Fuel QA review, See attached audit sheet",QA procedures not being followed,"May 20 2014-1325L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nAssigned to Manager\r\nHandling risk MED 3-3\r\nThird party actions\r\n\r\nJames Wakulchyk QA Flt Ops May 20 2014 reviewed handling risk med for contaminated fuel.  Memo sent to crews May 20.  Assigned to fuel QA manager; third party action.\r\n\r\nAndrew Matson - SMS - June 11, 2014  1300L\r\nPrimary category changed from Ground Servicing to Fuel Contamination.\r\n\r\nKen Pratt June 13, 2014- As this is a third party supplier, we requested work be completed to bring up the standard we expect and the work is being completed. The immediate hazard has been addressed with the memo to pilots not to take fuel there until further notice. Request for closure with six month follow-up to ensure they are keeping up with their new processes. Report will be updated to reflect completion of the work and the acceptance of their fuel.\r\n\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\n\r\nVeronique van den Broek - SMS - 03/09/2014 1429L\r\nSMS Committee has reviewed this report and has approved it for closure on August 28, 2014. Primary category changed from Fuel Contamination to Third Party Actions and secondary category changed from Third Party Actions to Fuel Contamination as requested by the SMS Committee. Report closed.  \r\n"
2528,14-05-20 17:00,B 1900D,Operations procedures,,Occurrence,In flight returning from cyeg to cyyc,High Risk,"On the return flight to cyyc as I reached for the logbook, which I had left behind my seat, to do a trend, I discovered that it was not there.  I asked Jason if he moved it, and the reply was no. I radioed cyeg base and asked if maintenance had taken it out, and the reply was yes.  I asked cyeg base to try and get the book to cyyc as soon as possible.","logbook was removed and not put back. Crew was unaware logbook was removed. I have tagged this as a low risk but my first question after discovering the logbook in cyeg was what was maintenance doing to the aircraft, and why did they have our logbook?  Jason did do a walk around in cyeg, but did not expect the log book to have been removed.","James Wakulchyk QA Flt Ops May 21 2014 - 17:40 reviewed handling risk high CARs infraction of 605.95.\r\n\r\nMay 22 2014-0913L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nAssigned to A.Haight for investigation\r\nHandling risk High due apparent CAR infraction 605.95\r\n\r\nAndrew Matson - SMS - May 28, 2014  0900L\r\nIn discussion with Andrew Haight, he was directly involved in this incident and therefore cannot be assigned the report for investigation.  Primary investigator changed to Deborah Kominko.  Secondary investigator removed.\r\n\r\nJune 2 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nReport reviewed. Investigation on-going.\r\n\r\nJune 4 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\n\r\nThe flight crew had performed their required checks prior to the first flight of the day, confirming they had the required documents on board (part of the flight compartment checks). They had left the logbook in the plane on arrival into YEG. When they returned to the plane, they had no reason to suspect that the logbook had been removed. \r\n\r\nBelow is from the AME involved:\r\n\r\nI believe this was a split duty day for the crew.  At the very lest a long lay over in YEG as the crew was leaving NSV for 4 or 5 hours on our ramp.  In an effort to clean up the ramp space, two 1900's (NSV and NCL) were brought into the hanger.  The rampies wanted to keep busy so they asked if they could wash both aircraft.  This requires taping off pitot/static ports, thus requiring logbook entry and maintenance release.  The logbook was removed from NSV for the maintenance release.  By the time I had finished doing the required paperwork, the aircraft had been put back outside.  I returned both (NSV and NCL) logbooks into the pilots office into the logbook holders on the wall.  \r\n\r\nJames Wakulchyk QA June6 update - POI was advised of infraction on May 26th.\r\n\r\nJune 12 2014\r\nDeborah Kominko Assistant Chief Pilot 703/704\r\nSpoke with captain. Discussed industry best practice of ensuring all required documents are on board every leg, especially when passing through a company base. Even though they had left the logbook on board, and had no reason to suspect it had been removed, they should have checked to ensure it was there. \r\n\r\nThis was a breakdown in communication between the AME and the pilots. The pilots assumed the logbook was still in the airplane, and the AME assumed the pilots would see the logbook in the flight planning room. \r\n\r\nSee attached 5 why's. RFC.\r\n\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\n\r\nAndrew Matson - SMS - July 15, 2014  1500L\r\nOn behalf of QA Maintenance, same as above.\r\nIn discussion with DFO, due to the circumstances of this incident, it has been determined by the Flight Ops department that there are no practicable long term mitigations available.  Report changed to reflect regulatory infraction.\r\n\r\nVeronique van den Broek - SMS - 06/08/2014 1406L\r\nReport has been approved for closure by the SMS Committee. Primary category has been changed from Maintnenance Procedure to Operations Procedure as requested by the SMS Committee. "
2529,14-05-21 19:00,DHC-8,Traffic Conflict,Cockpit Indication - In-flight,Occurrence,Between SUXEG and ROPRO,Low Risk,TA turned into RA suggested monitored vertical speed. We had traffic visual and deviated course to the left. We made all 126.7 and MF calls and with no response from other aircrafts prior to TA.,,"James Wakulchyk QA Flt Ops May 22 2014 14:40 handling risk med 4-2 pending verification of separation by flight crew.  Assigned to manager.\r\n\r\nDavid Heiduk - SMS - 22 May 2014 1500(L)\r\nThis report number included in the summary of reports related to traffic conflicts being tracked and recorded into Proactive report 1546,\r\n\r\nDanny Shorten Assistant Chief Pilot 705 21 Jun 2014\r\nSpoke with the captain. Crew acted in accordance with all applicable guidance; CAR's and SOP's. Recommend report be lowered to low risk. No further action required. Recommended for closure. \r\n\r\nJune 22 2014-1117 L CYXJ\r\nVern Lace Q/A Manager maintenance\r\nNo maintenance action required\r\nHandling risk as per flight ops Q/A MED.\r\n\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; per guidance from investigator may be lowered to low risk may be AC'd.\r\n\r\n I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register\r\n\r\nAndrew Matson - SMS - July 8, 2014  1700L\r\nCADOR attached to file. TSB Reference added.\r\nOn behalf of QA Maintenance: I have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety Register\r\nMay be AC'd.  Report under consideration for administrative closure. Administrative Close substatus added.\r\n\r\nAndrew Matson - SMS - Aug 18, 2014  2110L\r\nReport recommended for administrative closure.  Sent to Accountable Executive for review and closure.\r\n\r\nDan Wuthrich - AE - Sept 7, 2014\r\nReport reviewed and closed"
2530,14-05-22 15:00,DHC-8,Traffic Conflict,,Occurrence,on departure from Kirby Lake,Low Risk,Following the Kirby 3 departure between Dedek and Ropro RA with twin Otter TSU (1944 ish ZULU). We were in communication with the aircraft and had visual contact.   TSU was enroute to Conklin from Lac  la Biche at 5500ft we were at 6000ft,,"James Wakulchyk QA Flt Ops May 24 2014 11:50 initial handling risk low 1-4 pending investigation by manager.  Assigned to manager.\r\n\r\nDavid Heiduk 26 May 2014 0800(L)\r\nThis report will be cross referenced to proactive report 1546 related to traffic conflicts in the oil sands.\r\n\r\nDanny Shorten Assistant Chief Pilot 705 June 23, 2014\r\nCrew acted in accordance with all applicable guidance, CAR's and SOP's. No further action required. Recommended for closure.\r\n\r\nVern Lace June 23 2014-1050 L CYXJ\r\nNo maintenance action required\r\nHandling risk as per flight ops Q/A.\r\n\r\nAndrew Matson - SMS - July 2, 2014  1600L\r\nReport under consideration for Administrative Closure.  Administrative Close substatus added.  \r\nOn behalf of QA Maintenance:\r\nI have reviewed and determined that this investigation and supporting documentation and found;\r\na. This report does not generate any new opportunities to create a new audit\r\nb. This report does not generate any new opportunity to enhance an existing audit\r\nc. This report does not generate opportunity for an addition to the NCFS Proactive Safety\r\nMay be AC'd.\r\nJames Wakulchyk July 2 2014-Q/A Mgr Flt Ops; I have reviewed and determined that this investigation and supporting documentation and found; a.  This report  does not generate any new opportunities to create a new audit; b.  This report  does not generate any new opportunity to enhance an existing audit; c.  This report does not generate opportunity for an addition to the NCFS Proactive Safety register may be AC'd.\r\n\r\nDan Wuthrich- AE - Sept 7, 2014\r\nReport reviewed and closed\r\n"
